episode,agent,seed,reward,avg_reward,steps,lap_finished,visited_tiles,total_tiles,progress_percent,avg_progress_percent,end_reason,elapsed_seconds,loss,epsilon,pg_loss,vf_loss,entropy
1,DoubleDQN,42,381.095406,381.095406,500,False,122,283,43.109541,43.109541,max_steps,7.285742,0.548102,0.050000,,,
2,DoubleDQN,42,384.628975,382.862191,500,False,123,283,43.462898,43.286219,max_steps,14.109073,0.545119,0.050000,,,
3,DoubleDQN,42,349.293286,371.672556,500,False,113,283,39.929329,42.167256,max_steps,20.925995,0.595231,0.050000,,,
4,DoubleDQN,42,391.696113,376.678445,500,False,125,283,44.169611,42.667845,max_steps,27.608381,0.547524,0.050000,,,
5,DoubleDQN,42,260.954064,353.533569,500,False,88,283,31.095406,40.353357,max_steps,34.333405,0.587901,0.050000,,,
6,DoubleDQN,42,257.420495,337.514723,500,False,87,283,30.742049,38.751472,max_steps,41.041706,0.579214,0.050000,,,
7,DoubleDQN,42,285.689046,330.111055,500,False,95,283,33.568905,38.011106,max_steps,47.812679,0.597843,0.050000,,,
8,DoubleDQN,42,356.360424,333.392226,500,False,115,283,40.636042,38.339223,max_steps,54.576652,0.537655,0.050000,,,
9,DoubleDQN,42,366.961131,337.122104,500,False,118,283,41.696113,38.712210,max_steps,61.318119,0.594527,0.050000,,,
10,DoubleDQN,42,345.759717,337.985866,500,False,112,283,39.575972,38.798587,max_steps,68.064299,0.574979,0.050000,,,
11,DoubleDQN,42,338.692580,333.745583,500,False,110,283,38.869258,38.374558,max_steps,80.507804,0.541528,0.050000,,,
12,DoubleDQN,42,370.494700,332.332155,500,False,119,283,42.049470,38.233216,max_steps,87.880568,0.526514,0.050000,,,
13,DoubleDQN,42,366.961131,334.098940,500,False,118,283,41.696113,38.409894,max_steps,95.431346,0.554316,0.050000,,,
14,DoubleDQN,42,204.416961,315.371025,500,False,72,283,25.441696,36.537102,max_steps,103.775618,0.536752,0.050000,,,
15,DoubleDQN,42,359.893993,325.265018,500,False,116,283,40.989399,37.526502,max_steps,112.070045,0.548631,0.050000,,,
16,DoubleDQN,42,455.300353,345.053004,500,False,143,283,50.530035,39.505300,max_steps,121.631166,0.568685,0.050000,,,
17,DoubleDQN,42,324.558304,348.939929,500,False,106,283,37.455830,39.893993,max_steps,130.964627,0.558879,0.050000,,,
18,DoubleDQN,42,324.558304,345.759717,500,False,106,283,37.455830,39.575972,max_steps,140.469537,0.527243,0.050000,,,
19,DoubleDQN,42,321.024735,341.166078,500,False,105,283,37.102473,39.116608,max_steps,149.247732,0.565852,0.050000,,,
20,DoubleDQN,42,282.155477,334.805654,500,False,94,283,33.215548,38.480565,max_steps,158.306382,0.563376,0.050000,,,
21,DoubleDQN,42,359.893993,336.925795,500,False,116,283,40.989399,38.692580,max_steps,167.250570,0.565997,0.050000,,,
22,DoubleDQN,42,271.554770,327.031802,500,False,91,283,32.155477,37.703180,max_steps,175.885186,0.560113,0.050000,,,
23,DoubleDQN,42,303.356890,320.671378,500,False,100,283,35.335689,37.067138,max_steps,184.283470,0.568772,0.050000,,,
24,DoubleDQN,42,402.296820,340.459364,500,False,128,283,45.229682,39.045936,max_steps,192.642205,0.563931,0.050000,,,
25,DoubleDQN,42,299.823322,334.452297,500,False,99,283,34.982332,38.445230,max_steps,201.069641,0.552557,0.050000,,,
26,DoubleDQN,42,313.957597,320.318021,500,False,103,283,36.395760,37.031802,max_steps,209.597910,0.548666,0.050000,,,
27,DoubleDQN,42,285.689046,316.431095,500,False,95,283,33.568905,36.643110,max_steps,217.918440,0.537081,0.050000,,,
28,DoubleDQN,42,434.098940,327.385159,500,False,137,283,48.409894,37.738516,max_steps,226.225099,0.569520,0.050000,,,
29,DoubleDQN,42,388.162544,334.098940,500,False,124,283,43.816254,38.409894,max_steps,234.526197,0.567474,0.050000,,,
30,DoubleDQN,42,222.084806,328.091873,500,False,77,283,27.208481,37.809187,max_steps,242.806518,0.567473,0.050000,,,
31,DoubleDQN,42,345.759717,326.678445,500,False,112,283,39.575972,37.667845,max_steps,251.031717,0.556997,0.050000,,,
32,DoubleDQN,42,381.095406,337.632509,500,False,122,283,43.109541,38.763251,max_steps,259.257519,0.544715,0.050000,,,
33,DoubleDQN,42,313.957597,338.692580,500,False,103,283,36.395760,38.869258,max_steps,267.502736,0.509606,0.050000,,,
34,DoubleDQN,42,366.961131,335.159011,500,False,118,283,41.696113,38.515901,max_steps,275.741611,0.535621,0.050000,,,
35,DoubleDQN,42,398.763251,345.053004,500,False,127,283,44.876325,39.505300,max_steps,284.006973,0.563105,0.050000,,,
36,DoubleDQN,42,384.628975,352.120141,500,False,123,283,43.462898,40.212014,max_steps,292.210393,0.524077,0.050000,,,
37,DoubleDQN,42,324.558304,356.007067,500,False,106,283,37.455830,40.600707,max_steps,300.480558,0.529543,0.050000,,,
38,DoubleDQN,42,342.226148,346.819788,500,False,111,283,39.222615,39.681979,max_steps,308.678548,0.549235,0.050000,,,
39,DoubleDQN,42,324.558304,340.459364,500,False,106,283,37.455830,39.045936,max_steps,316.906766,0.556182,0.050000,,,
40,DoubleDQN,42,278.621908,346.113074,500,False,93,283,32.862191,39.611307,max_steps,325.203327,0.564466,0.050000,,,
41,DoubleDQN,42,331.625442,344.699647,500,False,108,283,38.162544,39.469965,max_steps,338.682898,0.549294,0.050000,,,
42,DoubleDQN,42,342.226148,340.812721,500,False,111,283,39.222615,39.081272,max_steps,347.101396,0.544794,0.050000,,,
43,DoubleDQN,42,292.756184,338.692580,500,False,97,283,34.275618,38.869258,max_steps,355.605383,0.558682,0.050000,,,
44,DoubleDQN,42,133.745583,315.371025,500,False,52,283,18.374558,36.537102,max_steps,363.960268,0.550765,0.050000,,,
45,DoubleDQN,42,236.219081,299.116608,500,False,81,283,28.621908,34.911661,max_steps,372.406983,0.545221,0.050000,,,
46,DoubleDQN,42,437.632509,304.416961,500,False,138,283,48.763251,35.441696,max_steps,380.831380,0.543583,0.050000,,,
47,DoubleDQN,42,448.233216,316.784452,500,False,141,283,49.823322,36.678445,max_steps,389.325323,0.529414,0.050000,,,
48,DoubleDQN,42,377.561837,320.318021,500,False,121,283,42.756184,37.031802,max_steps,397.729608,0.560642,0.050000,,,
49,DoubleDQN,42,338.692580,321.731449,500,False,110,283,38.869258,37.173145,max_steps,406.121354,0.526148,0.050000,,,
50,DoubleDQN,42,356.360424,329.505300,500,False,115,283,40.636042,37.950530,max_steps,414.546866,0.528703,0.050000,,,
51,DoubleDQN,42,211.484099,317.491166,500,False,74,283,26.148410,36.749117,max_steps,423.031633,0.527368,0.050000,,,
52,DoubleDQN,42,271.554770,310.424028,500,False,91,283,32.155477,36.042403,max_steps,431.353283,0.536849,0.050000,,,
53,DoubleDQN,42,328.091873,313.957597,500,False,107,283,37.809187,36.395760,max_steps,440.321321,0.571558,0.050000,,,
54,DoubleDQN,42,363.427562,336.925795,500,False,117,283,41.342756,38.692580,max_steps,449.542279,0.558406,0.050000,,,
55,DoubleDQN,42,384.628975,351.766784,500,False,123,283,43.462898,40.176678,max_steps,457.736921,0.547044,0.050000,,,
56,DoubleDQN,42,215.017668,329.505300,500,False,75,283,26.501767,37.950530,max_steps,466.091991,0.576632,0.050000,,,
57,DoubleDQN,42,169.081272,301.590106,500,False,62,283,21.908127,35.159011,max_steps,474.455540,0.556444,0.050000,,,
58,DoubleDQN,42,384.628975,302.296820,500,False,123,283,43.462898,35.229682,max_steps,482.790316,0.597343,0.050000,,,
59,DoubleDQN,42,370.494700,305.477032,500,False,119,283,42.049470,35.547703,max_steps,490.940410,0.554106,0.050000,,,
60,DoubleDQN,42,391.696113,309.010601,500,False,125,283,44.169611,35.901060,max_steps,499.059443,0.582888,0.050000,,,
61,DoubleDQN,42,321.024735,319.964664,500,False,105,283,37.102473,36.996466,max_steps,507.278370,0.553368,0.050000,,,
62,DoubleDQN,42,395.229682,332.332155,500,False,126,283,44.522968,38.233216,max_steps,515.357567,0.529723,0.050000,,,
63,DoubleDQN,42,229.151943,322.438163,500,False,79,283,27.915194,37.243816,max_steps,523.443630,0.541356,0.050000,,,
64,DoubleDQN,42,338.692580,319.964664,500,False,110,283,38.869258,36.996466,max_steps,531.625175,0.535962,0.050000,,,
65,DoubleDQN,42,384.628975,319.964664,500,False,123,283,43.462898,36.996466,max_steps,539.801180,0.558783,0.050000,,,
66,DoubleDQN,42,384.628975,336.925795,500,False,123,283,43.462898,38.692580,max_steps,547.951040,0.527526,0.050000,,,
67,DoubleDQN,42,342.226148,354.240283,500,False,111,283,39.222615,40.424028,max_steps,556.145647,0.533532,0.050000,,,
68,DoubleDQN,42,374.028269,353.180212,500,False,120,283,42.402827,40.318021,max_steps,564.408404,0.528132,0.050000,,,
69,DoubleDQN,42,349.293286,351.060071,500,False,113,283,39.929329,40.106007,max_steps,572.508761,0.522822,0.050000,,,
70,DoubleDQN,42,363.427562,348.233216,500,False,117,283,41.342756,39.823322,max_steps,580.728451,0.509555,0.050000,,,
71,DoubleDQN,42,409.363958,357.067138,500,False,130,283,45.936396,40.706714,max_steps,593.801437,0.525890,0.050000,,,
72,DoubleDQN,42,419.964664,359.540636,500,False,133,283,46.996466,40.954064,max_steps,601.809386,0.525114,0.050000,,,
73,DoubleDQN,42,377.561837,374.381625,500,False,121,283,42.756184,42.438163,max_steps,609.803979,0.541963,0.050000,,,
74,DoubleDQN,42,405.830389,381.095406,500,False,129,283,45.583039,43.109541,max_steps,617.776186,0.513883,0.050000,,,
75,DoubleDQN,42,441.166078,386.749117,500,False,139,283,49.116608,43.674912,max_steps,625.762252,0.510106,0.050000,,,
76,DoubleDQN,42,218.551237,370.141343,500,False,76,283,26.855124,42.014134,max_steps,633.735272,0.525778,0.050000,,,
77,DoubleDQN,42,352.826855,371.201413,500,False,114,283,40.282686,42.120141,max_steps,641.811364,0.549697,0.050000,,,
78,DoubleDQN,42,335.159011,367.314488,500,False,109,283,38.515901,41.731449,max_steps,649.859932,0.517422,0.050000,,,
79,DoubleDQN,42,395.229682,371.908127,500,False,126,283,44.522968,42.190813,max_steps,657.954429,0.546163,0.050000,,,
80,DoubleDQN,42,222.084806,357.773852,500,False,77,283,27.208481,40.777385,max_steps,666.051323,0.574877,0.050000,,,
81,DoubleDQN,42,483.568905,365.194346,500,False,151,283,53.356890,41.519435,max_steps,678.983487,0.524310,0.050000,,,
82,DoubleDQN,42,359.893993,359.187279,500,False,116,283,40.989399,40.918728,max_steps,686.985341,0.552266,0.050000,,,
83,DoubleDQN,42,441.166078,365.547703,500,False,139,283,49.116608,41.554770,max_steps,695.105212,0.519931,0.050000,,,
84,DoubleDQN,42,257.420495,350.706714,500,False,87,283,30.742049,40.070671,max_steps,703.416197,0.549600,0.050000,,,
85,DoubleDQN,42,250.353357,331.625442,500,False,85,283,30.035336,38.162544,max_steps,711.613240,0.557763,0.050000,,,
86,DoubleDQN,42,423.498233,352.120141,500,False,134,283,47.349823,40.212014,max_steps,719.938233,0.542439,0.050000,,,
87,DoubleDQN,42,398.763251,356.713781,500,False,127,283,44.876325,40.671378,max_steps,728.149362,0.576292,0.050000,,,
88,DoubleDQN,42,391.696113,362.367491,500,False,125,283,44.169611,41.236749,max_steps,736.465986,0.558545,0.050000,,,
89,DoubleDQN,42,409.363958,363.780919,500,False,130,283,45.936396,41.378092,max_steps,744.611454,0.531393,0.050000,,,
90,DoubleDQN,42,158.480565,357.420495,500,False,59,283,20.848057,40.742049,max_steps,752.778466,0.543539,0.050000,,,
91,DoubleDQN,42,384.628975,347.526502,500,False,123,283,43.462898,39.752650,max_steps,761.028656,0.558807,0.050000,,,
92,DoubleDQN,42,135.112014,325.048304,451,False,51,283,18.021201,37.455830,no_progress,768.453027,0.557073,0.050000,,,
93,DoubleDQN,42,398.763251,320.808021,500,False,127,283,44.876325,37.031802,max_steps,776.748451,0.525980,0.050000,,,
94,DoubleDQN,42,243.286219,319.394594,500,False,83,283,29.328622,36.890459,max_steps,784.981771,0.552095,0.050000,,,
95,DoubleDQN,42,405.830389,334.942297,500,False,129,283,45.583039,38.445230,max_steps,793.189876,0.554506,0.050000,,,
96,DoubleDQN,42,391.696113,331.762085,500,False,125,283,44.169611,38.127208,max_steps,801.369000,0.553120,0.050000,,,
97,DoubleDQN,42,211.484099,313.034170,500,False,74,283,26.148410,36.254417,max_steps,809.772956,0.570206,0.050000,,,
98,DoubleDQN,42,356.360424,309.500601,500,False,115,283,40.636042,35.901060,max_steps,817.997052,0.537392,0.050000,,,
99,DoubleDQN,42,363.427562,304.906961,500,False,117,283,41.342756,35.441696,max_steps,826.194946,0.579073,0.050000,,,
100,DoubleDQN,42,374.028269,326.461731,500,False,120,283,42.402827,37.597173,max_steps,834.456008,0.556626,0.050000,,,
101,DoubleDQN,42,303.356890,318.334523,500,False,100,283,35.335689,36.784452,max_steps,842.631933,0.539951,0.050000,,,
102,DoubleDQN,42,352.826855,340.106007,500,False,114,283,40.282686,39.010601,max_steps,850.727789,0.537790,0.050000,,,
103,DoubleDQN,42,363.427562,336.572438,500,False,117,283,41.342756,38.657244,max_steps,858.808695,0.557551,0.050000,,,
104,DoubleDQN,42,359.893993,348.233216,500,False,116,283,40.989399,39.823322,max_steps,866.926461,0.555517,0.050000,,,
105,DoubleDQN,42,395.229682,347.173145,500,False,126,283,44.522968,39.717314,max_steps,875.053023,0.555640,0.050000,,,
106,DoubleDQN,42,366.961131,344.699647,500,False,118,283,41.696113,39.469965,max_steps,883.251169,0.550728,0.050000,,,
107,DoubleDQN,42,236.219081,347.173145,500,False,81,283,28.621908,39.717314,max_steps,891.311322,0.545160,0.050000,,,
108,DoubleDQN,42,363.427562,347.879859,500,False,117,283,41.342756,39.787986,max_steps,899.479789,0.522733,0.050000,,,
109,DoubleDQN,42,370.494700,348.586572,500,False,119,283,42.049470,39.858657,max_steps,907.756861,0.533044,0.050000,,,
110,DoubleDQN,42,374.028269,348.586572,500,False,120,283,42.402827,39.858657,max_steps,915.937209,0.545460,0.050000,,,
111,DoubleDQN,42,236.219081,341.872792,500,False,81,283,28.621908,39.187279,max_steps,924.062307,0.521449,0.050000,,,
112,DoubleDQN,42,366.961131,343.286219,500,False,118,283,41.696113,39.328622,max_steps,932.394318,0.538541,0.050000,,,
113,DoubleDQN,42,338.692580,340.812721,500,False,110,283,38.869258,39.081272,max_steps,940.693413,0.529235,0.050000,,,
114,DoubleDQN,42,374.028269,342.226148,500,False,120,283,42.402827,39.222615,max_steps,948.892404,0.539989,0.050000,,,
115,DoubleDQN,42,331.625442,335.865724,500,False,108,283,38.162544,38.586572,max_steps,957.514227,0.548405,0.050000,,,
116,DoubleDQN,42,444.699647,343.639576,500,False,140,283,49.469965,39.363958,max_steps,965.805808,0.538957,0.050000,,,
117,DoubleDQN,42,296.289753,349.646643,500,False,98,283,34.628975,39.964664,max_steps,973.999094,0.517088,0.050000,,,
